id,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
40,0,43,0,3,3,1,3,0,26,5,3,2,2355.0,1090,1265.0,751,1441,29,812,463
41,0,51,0,4,1,0,4,0,46,6,3,3,34516.0,2274,32242.0,788,1795,47,679,66
42,0,40,1,4,3,0,0,0,27,6,2,3,3751.0,1521,2230.0,974,1060,30,1.308,405
43,0,55,1,1,1,0,0,0,43,4,2,0,2569.0,1403,1166.0,886,1456,39,444,546
44,0,56,0,3,1,1,2,0,36,5,1,3,9226.0,1233,7993.0,1.521,1626,29,1.636,134
45,1,57,0,2,0,1,4,0,40,3,3,3,3106.0,1120,1986.0,1.045,683,17,0.7,361
46,0,47,0,1,3,0,1,0,36,5,3,0,6509.0,2033,4476.0,0.83,1409,37,0.37,312
47,0,50,1,2,2,2,0,0,36,3,3,0,1491.0,0,1491.0,876,1058,34,889,0.0
48,0,40,0,4,5,2,2,0,34,4,2,3,23138.0,1727,21411.0,693,1612,39,1.438,75
49,0,53,1,1,1,1,0,0,47,6,1,2,3445.0,1074,2371.0,0.67,1074,31,632,312
50,0,48,1,3,1,2,1,0,40,4,1,2,1919.0,774,1145.0,965,1505,33,737,403
51,0,49,1,3,3,0,1,0,33,5,3,2,9995.0,1713,8282.0,0.96,1172,38,462,171
52,0,39,1,3,2,1,0,0,36,4,2,0,2279.0,1529,750.0,1.26,1693,32,1.286,671
53,0,48,1,3,2,2,1,0,41,4,1,3,9336.0,1672,7664.0,696,1391,39,625,179
54,0,26,0,0,3,0,0,0,13,6,3,2,2585.0,2019,566.0,525,2644,40,481,781
55,0,48,0,4,2,1,3,0,36,3,3,2,26443.0,1601,24842.0,493,1593,36,333,61
56,0,56,1,2,4,1,0,0,48,6,1,2,4930.0,2259,2671.0,1.134,2194,53,606,458
57,0,44,0,2,3,0,1,0,34,5,3,1,5331.0,1993,3338.0,777,1766,39,625,374
58,0,26,0,0,3,0,1,0,13,6,1,2,3290.0,1616,1674.0,466,2781,54,0.35,491
59,0,62,0,0,3,1,2,0,36,6,3,3,3674.0,895,2779.0,658,1703,48,371,244
60,1,57,0,2,2,1,1,0,50,2,5,3,6462.0,0,6462.0,856,761,17,214,0.0
61,1,56,0,1,2,1,2,0,44,5,3,3,1704.0,0,1704.0,701,660,17,308,0.0
62,0,45,0,3,1,1,0,0,33,6,5,0,7717.0,1430,6287.0,822,1248,37,0.85,185
63,0,45,0,2,5,1,3,0,40,6,3,1,11710.0,693,11017.0,914,1749,50,429,59
64,0,44,1,4,3,1,0,0,36,4,1,0,1717.0,0,1717.0,619,1468,29,381,0.0
65,0,42,1,3,3,1,0,0,33,6,3,3,8628.0,1077,7551.0,872,1675,58,415,125
66,0,52,0,2,1,1,4,0,36,5,1,2,2981.0,1358,1623.0,1.242,1648,30,1.5,456
67,0,45,1,3,3,1,0,0,31,4,1,0,8829.0,901,7928.0,825,1902,45,667,102
68,1,53,0,1,3,0,3,0,48,3,3,3,30271.0,1406,28865.0,1.336,3231,47,306,46
69,0,43,1,3,3,1,1,0,36,6,1,3,2936.0,2379,557.0,694,1572,57,676,0.81
70,0,58,1,2,0,1,1,0,49,3,1,3,6175.0,1166,5009.0,803,1417,25,0.25,189
71,0,41,0,3,3,0,3,0,26,4,3,2,11806.0,1811,9995.0,754,1465,31,476,153
72,0,48,0,3,4,0,2,0,39,5,2,2,4734.0,954,3780.0,0.6,1570,45,452,202
73,0,50,0,3,0,0,3,0,36,5,2,3,24742.0,1676,23066.0,566,1306,31,0.55,68
74,0,43,0,3,3,1,4,0,33,3,1,3,34516.0,2129,32387.0,587,1463,38,583,62
75,0,38,0,2,1,1,3,0,36,5,3,3,2407.0,843,1564.0,1.008,1470,28,0.4,0.35
76,0,44,1,3,0,0,0,0,36,5,3,3,4307.0,0,4307.0,745,1628,37,542,0.0
77,0,51,1,4,3,0,0,0,42,3,1,3,2680.0,1753,927.0,0.32,1154,33,571,654
78,0,46,1,2,1,1,0,0,35,6,4,3,4675.0,1734,2941.0,413,1232,34,545,371
79,0,63,0,1,1,1,1,0,36,5,3,2,4559.0,1571,2988.0,1.441,1870,35,842,345
80,0,56,1,3,3,0,1,0,36,4,1,0,5108.0,1656,3452.0,711,1631,41,323,324
81,0,49,1,3,4,1,1,0,36,6,2,2,5918.0,842,5076.0,0.56,1292,26,733,142
82,0,43,0,2,1,0,2,0,36,4,3,2,6976.0,0,6976.0,519,1217,39,1.438,0.0
83,0,42,0,3,1,0,3,0,36,4,3,1,21134.0,1508,19626.0,505,1556,35,842,71
84,0,48,0,4,0,1,3,0,37,5,6,3,30948.0,2404,28544.0,609,1511,35,207,78
85,1,43,0,2,0,1,2,0,24,2,3,3,14447.0,0,14447.0,856,915,29,2.222,0.0
86,0,49,0,4,5,1,2,0,44,3,1,1,3343.0,1581,1762.0,1.146,1545,31,824,473
87,0,46,0,4,2,0,4,0,36,5,2,1,7793.0,1705,6088.0,597,1099,39,696,219
88,0,35,0,2,1,1,1,0,21,3,3,1,2967.0,1843,1124.0,681,1673,58,526,621
89,0,35,0,3,5,0,1,0,23,4,3,2,2148.0,1545,603.0,682,2167,65,512,719
90,0,46,0,3,0,2,2,0,34,4,3,0,11501.0,713,10788.0,0.84,1481,41,519,62
91,0,51,1,1,1,1,0,0,40,4,1,1,5158.0,2190,2968.0,426,1229,34,478,425
92,0,47,1,3,3,1,0,0,36,5,2,2,7051.0,0,7051.0,527,1451,37,194,0.0
93,0,56,0,1,2,1,2,0,46,3,2,1,10117.0,2242,7875.0,662,1509,44,467,222
94,1,57,1,2,1,1,1,0,45,2,1,3,1438.3,0,1438.3,1.036,1254,35,842,0.0
95,1,56,0,3,1,0,2,0,45,2,1,3,8512.0,0,8512.0,1.038,811,27,1.25,0.0
96,0,47,0,1,3,1,2,0,36,4,3,2,19063.0,1714,17349.0,786,1270,21,615,0.09
97,0,46,0,2,3,1,2,0,36,3,2,3,15405.0,1691,13714.0,814,1763,44,189,0.11
98,0,46,1,4,1,0,0,0,40,3,2,2,3556.0,2172,1384.0,402,1221,41,708,611
99,1,65,0,1,1,1,0,0,47,3,2,1,1759.0,0,1759.0,1.058,821,18,0.5,0.0
100,1,57,0,1,3,1,3,0,36,3,3,3,4829.0,2418,2411.0,601,938,21,0.4,501
101,0,60,0,1,0,1,2,0,48,3,1,3,10264.0,2073,8191.0,0.62,1685,45,364,202
102,0,46,0,2,1,0,1,0,36,4,3,3,4129.0,0,4129.0,0.96,1678,40,1.0,0.0
103,0,53,0,3,1,1,4,0,36,3,1,3,21178.0,1796,19382.0,1.182,1872,59,1.107,85
104,0,53,1,4,3,1,1,0,36,3,2,3,4753.0,2472,2281.0,1.274,2242,49,815,0.52
105,0,26,0,0,2,2,0,0,36,5,2,3,4150.0,456,3694.0,1.126,2483,74,542,0.11
106,0,45,0,3,3,1,2,0,41,6,3,3,9106.0,2477,6629.0,515,1239,33,737,272
107,0,37,0,3,3,1,4,0,25,3,3,0,15017.0,1733,13284.0,635,2076,58,487,115
108,0,53,0,1,0,1,1,0,43,3,1,2,4426.0,1530,2896.0,518,1231,34,214,346
109,0,38,0,0,0,1,2,0,19,3,1,3,3238.0,2146,1092.0,673,1501,45,667,663
110,0,52,0,2,1,1,2,0,46,5,3,0,14316.0,1081,13235.0,0.67,1313,36,636,76
111,1,51,1,2,5,1,0,0,41,2,2,3,6630.0,916,5714.0,927,842,24,0.5,138
112,0,38,1,2,1,1,0,0,27,4,1,2,1830.0,0,1830.0,736,1741,43,654,0.0
113,0,53,1,1,0,1,1,0,46,5,2,3,1438.3,0,1438.3,743,2118,64,455,0.0
114,0,41,1,4,0,0,0,0,31,5,1,2,2490.0,627,1863.0,345,1391,45,364,252
115,1,56,1,3,1,1,1,0,51,5,2,1,1438.3,0,1438.3,597,594,14,556,0.0
116,0,65,1,0,1,1,1,0,36,5,2,3,6088.0,2145,3943.0,1.371,2098,52,733,352
117,0,40,0,5,3,1,3,0,34,6,2,4,11942.0,1651,10291.0,598,1085,29,208,138
118,0,57,1,2,2,1,0,0,44,6,3,2,3914.0,0,3914.0,524,1964,54,0.8,0.0
119,0,28,0,0,3,1,0,0,18,5,1,3,2943.0,1789,1154.0,1.271,2591,55,897,608
120,0,55,0,1,3,1,3,0,36,3,2,4,34516.0,2102,32414.0,912,1612,33,737,61
121,0,39,1,3,3,0,0,0,30,5,3,4,5202.0,815,4387.0,1.108,1558,48,778,157
122,0,55,0,3,3,1,3,0,36,3,2,3,25878.0,1733,24145.0,438,1777,54,862,67
123,0,54,1,3,5,1,1,0,39,3,1,3,2112.0,1594,518.0,1.204,1338,29,2.222,755
124,0,44,0,3,3,1,3,0,36,3,3,2,25666.0,756,24910.0,0.69,4088,84,867,29
125,0,32,0,0,1,1,1,0,28,5,1,2,3172.0,2055,1117.0,663,1939,36,636,648
126,0,60,0,0,3,1,1,0,41,3,2,4,2458.0,1880,578.0,759,1238,30,579,765
127,0,38,0,4,1,0,3,2,36,6,1,3,34516.0,1140,33376.0,815,1445,45,957,33
128,1,51,1,2,3,0,0,0,44,6,3,2,3181.0,2517,664.0,595,818,16,455,791
129,0,38,1,1,0,0,0,0,27,6,3,4,8638.0,0,8638.0,489,1295,29,381,0.0
130,0,64,1,1,1,1,1,0,56,4,2,4,1438.3,0,1438.3,693,1417,35,591,0.0
131,0,52,0,1,2,1,3,0,48,4,3,3,2066.0,1601,465.0,742,1578,41,414,775
132,0,33,1,1,1,0,0,0,25,6,3,4,6193.0,695,5498.0,632,2456,69,725,112
133,0,35,0,3,3,1,2,0,26,6,3,2,3991.0,1982,2009.0,748,1661,35,944,497
134,0,44,0,4,1,0,4,0,37,5,3,3,8396.0,1672,6724.0,602,1475,35,0.75,199
135,0,58,0,1,0,1,3,0,50,5,3,2,6978.0,1148,5830.0,1.645,1362,26,1.0,165
136,0,35,0,3,0,1,3,0,25,3,1,2,11927.0,675,11252.0,574,1986,36,636,57
137,1,49,1,2,3,0,0,0,31,5,1,2,5456.0,951,4505.0,737,1096,27,588,174
138,0,58,0,1,1,1,2,0,46,3,2,4,4188.0,1147,3041.0,1.042,1276,25,1.083,274
139,0,41,1,3,0,1,0,0,29,5,3,3,3022.0,1142,1880.0,403,1184,21,615,378
140,0,36,0,2,2,1,4,0,29,6,3,2,3158.0,0,3158.0,1.209,2973,63,969,0.0
141,0,55,1,3,1,1,0,0,48,6,2,2,2897.0,1601,1296.0,878,1337,25,471,553
142,0,56,0,3,0,1,4,0,36,6,3,3,34516.0,1047,33469.0,0.61,1378,30,429,0.03
143,0,26,0,1,1,0,2,0,15,6,3,3,4327.0,0,4327.0,624,2344,48,297,0.0
144,0,46,0,3,2,1,2,0,36,5,2,2,9981.0,807,9174.0,655,1456,30,667,81
145,0,54,0,3,1,1,4,0,42,6,3,2,20311.0,1655,18656.0,431,1266,34,308,81
146,0,33,0,3,3,1,2,0,36,5,1,3,1726.0,1215,511.0,1.175,1712,48,548,704
147,0,38,0,2,3,0,1,0,24,6,3,2,14632.0,1158,13474.0,501,1399,36,0.5,79
148,0,59,0,0,3,1,2,0,53,6,1,4,12554.0,2169,10385.0,529,1422,30,579,173
149,0,32,0,0,1,1,2,0,13,3,3,4,14308.0,1889,12419.0,1.053,1659,39,1.167,132
150,1,51,1,2,2,1,1,0,46,3,1,3,4882.0,695,4187.0,508,1544,44,517,142
151,0,37,0,3,5,0,3,0,36,5,2,4,12830.0,0,12830.0,774,2526,54,588,0.0
152,0,31,1,0,0,0,0,0,24,3,2,4,3827.0,1397,2430.0,0.88,2491,64,1.0,365
153,0,33,0,2,3,1,1,0,20,4,3,3,5657.0,1792,3865.0,904,1914,46,769,317
154,0,49,0,2,4,1,2,0,37,5,3,3,2608.0,1589,1019.0,982,2073,47,516,609
155,0,44,1,2,3,1,0,0,37,4,5,4,3203.0,2076,1127.0,543,1433,38,1.0,648
156,0,59,0,0,1,1,0,0,47,6,3,4,1479.0,787,692.0,865,2139,70,556,532
157,0,26,1,0,3,0,1,0,13,5,1,2,5655.0,0,5655.0,842,2312,61,649,0.0
158,0,41,0,1,4,0,1,0,32,3,2,4,10266.0,1390,8876.0,593,1720,42,556,135
159,0,46,0,1,1,0,2,0,38,5,2,4,23996.0,2517,21479.0,488,1339,29,381,105
160,0,32,0,1,5,0,2,0,27,5,3,3,10029.0,606,9423.0,727,2192,58,657,0.06
161,0,35,0,2,1,1,2,0,36,4,2,4,19127.0,1880,17247.0,788,1859,33,571,98
162,0,61,0,1,0,1,1,0,47,5,3,4,1438.3,847,591.3,436,1397,43,483,589
163,0,47,0,5,2,1,4,0,34,3,1,2,17603.0,1063,16540.0,1.065,2902,64,641,0.06
164,0,60,0,0,4,1,2,0,49,5,1,4,3182.0,1928,1254.0,509,1233,35,0.4,606
165,0,35,1,3,0,1,0,0,25,4,1,2,2149.0,1118,1031.0,903,1581,30,1.0,0.52
166,0,50,0,2,2,0,2,0,36,5,3,2,5965.0,688,5277.0,673,3382,58,1.071,115
167,0,63,1,0,2,1,1,0,53,6,1,4,3118.0,1528,1590.0,604,1291,24,0.6,0.49
168,0,29,0,0,0,1,2,0,20,5,2,3,8592.0,1201,7391.0,778,1842,50,852,0.14
169,0,36,0,3,2,1,1,0,31,6,2,4,2220.0,1337,883.0,768,1685,44,375,602
170,0,65,1,0,3,0,0,0,56,5,3,3,1438.3,0,1438.3,0.76,2249,61,564,0.0
171,0,39,0,4,1,1,2,0,31,3,1,4,11906.0,2032,9874.0,465,1642,39,625,171
172,0,37,1,2,1,1,0,0,27,6,6,2,3148.0,0,3148.0,498,1401,31,722,0.0
173,0,62,1,2,3,1,0,0,51,6,2,4,2986.0,1632,1354.0,883,2141,55,667,547
174,1,26,0,0,1,0,1,0,15,3,1,3,3324.0,0,3324.0,537,982,22,692,0.0
175,0,34,0,2,3,0,0,0,28,5,1,4,4439.0,844,3595.0,863,2858,71,0.69,0.19
176,0,38,0,1,3,1,3,0,28,3,2,3,3946.0,2375,1571.0,921,1646,43,536,602
177,0,42,1,4,4,0,0,0,36,6,2,3,1438.3,674,764.3,1.769,2451,55,1.292,469
178,0,35,0,3,2,1,2,0,28,4,3,4,6921.0,2159,4762.0,895,1931,35,0.75,312
179,0,28,0,1,1,0,0,0,36,5,2,3,1950.0,0,1950.0,803,2074,81,0.8,0.0
180,0,57,0,3,4,1,2,0,36,6,1,4,3478.0,2517,961.0,685,1409,49,0.75,724
181,0,33,0,1,3,0,3,0,20,5,3,2,13206.0,925,12281.0,766,2342,51,1.318,0.07
182,0,37,0,3,0,0,3,0,26,4,2,2,23622.0,1153,22469.0,666,2574,65,625,49
183,0,38,0,2,0,1,1,0,31,4,3,3,6116.0,1698,4418.0,937,1592,32,1.0,278
184,0,54,0,1,2,1,2,0,42,3,2,2,2987.0,2517,470.0,479,1617,35,0.75,843
185,0,35,0,0,1,0,3,2,29,6,2,3,34516.0,1965,32551.0,1.044,2949,70,1.0,57
186,0,34,1,2,3,0,0,0,36,4,3,4,3625.0,2517,1108.0,1.158,2616,46,1.3,694
187,0,39,0,3,3,1,1,0,28,4,3,4,3478.0,0,3478.0,0.65,2133,54,543,0.0
188,0,37,0,3,3,1,2,0,23,4,3,2,3034.0,2167,867.0,711,2058,49,485,714
189,0,35,0,3,3,0,1,0,30,3,1,3,8969.0,1226,7743.0,0.84,2568,59,735,137
190,0,39,0,3,2,0,1,0,28,6,2,2,1640.0,1177,463.0,695,3124,66,784,718
191,0,65,0,0,3,0,0,0,56,3,3,2,3422.0,0,3422.0,929,1973,59,686,0.0
192,0,34,0,1,3,1,4,0,29,4,3,2,14938.0,1412,13526.0,677,1930,36,636,95
193,0,59,1,0,4,1,0,0,49,5,2,3,1479.0,601,878.0,607,1621,32,0.6,406
194,0,36,0,0,2,1,3,0,27,3,3,2,6338.0,2379,3959.0,624,1715,39,0.5,375
195,0,55,0,0,1,1,3,0,35,5,1,4,3864.0,1901,1963.0,289,1018,32,391,492
196,0,36,0,4,3,0,3,0,36,5,3,2,10216.0,1822,8394.0,778,2568,69,683,178
197,0,36,0,2,3,1,2,0,17,5,2,3,3092.0,1825,1267.0,1.46,2883,61,488,0.59
198,0,55,0,3,3,1,3,0,48,5,2,4,16208.0,1278,14930.0,543,1842,56,436,79
199,0,40,0,2,1,0,3,0,28,6,2,4,19279.0,1427,17852.0,892,1777,56,647,74
200,0,52,0,3,4,1,3,0,43,5,2,2,6849.0,2126,4723.0,611,1651,43,344,0.31
201,0,32,0,1,1,1,0,0,14,4,2,2,3568.0,2175,1393.0,1.368,1913,35,667,0.61
202,0,32,0,0,3,0,0,0,26,6,3,3,6942.0,0,6942.0,544,2657,71,0.69,0.0
203,0,43,0,0,1,1,3,0,36,5,3,3,7866.0,0,7866.0,747,2843,53,828,0.0
204,0,39,0,2,3,1,3,0,22,5,4,2,5140.0,2517,2623.0,876,1842,36,714,0.49
205,0,39,0,2,3,1,3,0,27,4,2,2,9959.0,1476,8483.0,952,2760,44,1.0,148
206,0,37,0,3,3,1,1,0,36,3,3,3,2031.0,0,2031.0,752,1678,36,0.8,0.0
207,0,58,0,1,3,1,3,0,49,6,4,2,1654.0,1253,401.0,508,1887,60,538,758
208,0,32,0,3,3,1,1,0,18,5,3,3,6407.0,963,5444.0,1.052,1921,43,0.72,0.15
209,0,38,0,2,0,1,0,0,27,6,2,4,1438.3,0,1438.3,945,2412,58,657,0.0
210,0,31,0,1,0,1,1,0,24,5,2,3,1438.3,0,1438.3,665,2308,49,0.4,0.0
211,0,54,1,0,3,2,0,1,36,4,3,1,12547.0,1378,11169.0,1.12,3360,56,0.75,0.11
212,0,54,0,3,1,0,3,0,36,4,1,3,17686.0,0,17686.0,733,2047,46,533,0.0
213,0,28,1,0,3,2,0,0,23,5,1,3,3818.0,584,3234.0,0.7,2947,87,706,153
214,0,38,0,1,0,1,2,0,25,6,2,3,9303.0,1599,7704.0,1.408,2261,37,542,172
215,0,56,0,1,3,1,2,0,36,3,2,3,15124.0,1974,13150.0,826,1850,44,571,131
216,0,63,1,0,0,0,1,0,56,3,6,4,1438.3,0,1438.3,864,3630,71,578,0.0
217,0,37,0,2,3,0,2,0,23,6,1,2,5663.0,1149,4514.0,767,2553,61,794,203
218,0,36,0,2,1,0,1,0,32,3,5,2,2683.0,1533,1150.0,821,2373,73,659,571
219,0,33,0,1,4,1,3,0,36,4,3,2,2946.0,1359,1587.0,746,2017,48,455,461
220,0,58,1,3,4,0,0,0,54,4,2,3,8886.0,0,8886.0,694,4148,79,756,0.0
221,0,51,0,2,0,0,4,0,36,5,2,4,34516.0,888,33628.0,1.299,1959,42,909,26
222,0,31,0,1,2,1,3,0,36,4,3,3,4260.0,1775,2485.0,1.239,2109,52,625,417
223,0,54,1,2,3,1,0,0,46,6,2,2,2737.0,2517,220.0,533,1619,37,0.48,0.92
224,0,35,0,3,3,0,3,0,25,3,2,3,6510.0,2055,4455.0,1.042,2238,49,531,316
225,0,65,1,1,3,1,0,0,56,4,2,0,7023.0,1726,5297.0,1.178,2535,51,759,246
226,0,57,1,2,1,1,0,0,46,5,1,1,5184.0,1856,3328.0,553,1834,55,571,358
227,0,40,0,4,0,1,3,0,23,6,3,2,9760.0,1657,8103.0,1.134,4542,86,0.87,0.17
228,0,65,1,0,3,1,0,0,53,5,3,5,4161.0,2491,1670.0,0.41,1203,30,579,599
229,0,61,1,0,1,1,0,0,53,5,2,0,3396.0,802,2594.0,548,1418,36,0.5,236
230,0,52,1,2,3,1,0,0,45,3,3,3,2548.0,1683,865.0,0.75,2055,54,636,661
231,0,42,1,4,0,0,0,1,36,4,3,3,10091.0,0,10091.0,1.121,3347,64,778,0.0
232,0,61,0,0,4,1,0,0,56,6,3,4,1438.3,0,1438.3,589,1448,31,292,0.0
233,0,48,0,2,1,1,1,0,29,3,2,1,6168.0,2371,3797.0,668,4303,80,509,384
234,0,65,1,0,1,0,1,0,36,3,3,3,10962.0,1559,9403.0,708,2724,71,651,142
235,0,37,0,3,1,0,3,0,24,5,3,2,6590.0,0,6590.0,714,2449,67,634,0.0
236,0,56,0,2,1,1,4,0,46,4,1,3,27029.0,1347,25682.0,381,1302,27,421,0.05
237,0,40,1,2,3,0,0,0,29,4,3,2,2295.0,0,2295.0,699,3292,62,824,0.0
238,1,43,0,1,3,1,3,0,37,4,2,3,25517.0,321,25196.0,769,2508,44,294,13
239,0,39,0,2,1,1,3,0,28,3,2,4,26570.0,1915,24655.0,1.454,2118,33,1.062,72
240,0,57,0,1,1,1,3,0,36,3,2,2,6543.0,2260,4283.0,448,1519,31,632,345
241,0,60,0,2,3,1,2,0,50,3,1,2,9033.0,845,8188.0,663,1661,35,0.4,94
242,0,41,0,2,2,0,4,0,32,6,3,2,5489.0,1513,3976.0,0.87,4085,65,548,276
243,0,45,0,3,0,1,1,0,36,3,1,1,10619.0,607,10012.0,883,4074,65,477,57
244,0,35,0,0,5,0,2,0,18,6,2,3,2598.0,1645,953.0,765,2483,59,903,633
245,0,33,1,3,3,0,1,0,36,6,1,2,8232.0,2259,5973.0,1.158,2849,67,1.31,274
246,0,35,0,3,3,1,4,0,28,4,3,2,14869.0,0,14869.0,1.624,2753,48,1.087,0.0
247,0,50,1,1,0,1,0,0,36,6,2,2,4204.0,499,3705.0,635,4740,67,523,119
248,0,44,1,4,1,0,1,0,38,6,3,3,7881.0,2517,5364.0,738,3068,77,711,319
249,0,60,1,0,3,1,0,0,50,4,2,2,3147.0,1602,1545.0,569,1558,23,643,509
250,0,37,0,1,3,0,3,0,18,6,2,5,5110.0,1942,3168.0,749,3028,76,583,0.38
251,0,56,0,1,0,1,3,0,40,6,1,1,17450.0,2193,15257.0,419,1426,38,462,126
252,0,50,0,3,3,0,4,0,42,3,1,3,33996.0,949,33047.0,846,3569,77,571,28
253,0,34,1,2,3,0,0,0,27,4,1,1,1901.0,1176,725.0,612,2450,52,857,619
254,0,33,1,1,4,1,0,0,15,6,2,0,1741.0,1328,413.0,0.69,2629,61,649,763
255,0,51,0,4,1,1,3,0,42,6,1,2,14438.0,2517,11921.0,853,2090,47,0.88,174
256,0,36,0,3,1,0,3,0,31,6,1,1,5228.0,1443,3785.0,934,2683,62,938,276
257,0,44,1,3,2,2,1,0,34,5,2,5,4513.0,1950,2563.0,0.83,3164,62,0.59,432
258,0,61,1,0,3,0,1,0,56,4,3,5,7118.0,813,6305.0,475,3964,66,0.65,114
259,0,47,0,4,2,2,1,0,36,5,1,1,5570.0,1858,3712.0,783,4129,72,636,334
260,0,49,0,0,0,0,3,0,36,5,3,4,16156.0,2517,13639.0,804,4160,81,653,156
261,0,30,0,0,1,1,0,0,21,5,4,3,2490.0,1259,1231.0,1.079,2441,53,514,506
262,0,65,0,0,2,2,0,0,42,5,3,2,9706.0,1968,7738.0,1.022,3435,58,706,203
263,0,46,1,3,3,0,1,0,41,5,2,4,7457.0,0,7457.0,717,3162,64,0.73,0.0
